source,destination,rssi,timestamp
WB3,WB2,-50,906193
WB3,WB1,-49,906193
WB4,WB2,-58,921298
WB4,WB1,-46,921298
WB1,WB2,-18,768976
WB5,WB2,-23,817149
WB5,WB1,-29,817149
WB3,WB2,-49,914203
WB4,WB1,-35,929310
WB2,WB1,-17,817437
WB5,WB2,-23,825159
WB3,WB2,-51,922214
WB3,WB1,-47,922214
WB4,WB2,-61,937321
WB2,WB1,-17,825447
WB5,WB2,-23,833171
WB5,WB1,-28,833171
WB3,WB1,-53,930225
WB4,WB1,-34,945331
WB1,WB2,-19,793009
WB5,WB2,-23,841183
WB5,WB1,-29,841183
WB3,WB2,-50,938236
WB3,WB1,-51,938236
WB4,WB1,-45,953344
WB4,WB2,-59,953344
WB2,WB1,-16,841465
WB1,WB2,-18,801017
WB5,WB1,-28,849193
WB5,WB2,-23,849193
WB3,WB1,-52,946247
WB3,WB2,-51,946247
WB4,WB1,-36,961356
WB4,WB2,-57,961356
WB2,WB1,-26,849476
WB1,WB2,-17,809026
WB5,WB2,-23,857204
WB3,WB2,-49,954257
WB3,WB1,-54,954257
WB4,WB1,-45,969366
WB4,WB2,-49,969366
WB2,WB1,-17,857488
WB5,WB1,-29,865215
WB5,WB2,-24,865215
WB3,WB1,-49,962269
WB3,WB2,-50,962269
WB4,WB1,-33,977376
WB2,WB1,-17,865498
WB3,WB2,-48,970281
WB4,WB1,-33,985386
WB2,WB1,-17,873508
WB1,WB2,-19,833057
WB5,WB2,-23,881235
WB5,WB1,-29,881235
WB3,WB1,-49,978291
WB3,WB2,-52,978291
WB4,WB1,-34,993398
WB2,WB1,-16,881518
WB1,WB2,-19,841068
WB5,WB1,-28,889245
WB5,WB2,-22,889245
WB3,WB1,-50,986301
WB3,WB2,-53,986301
WB4,WB2,-57,1001410
WB2,WB1,-16,889529
WB1,WB2,-18,849076
WB5,WB1,-28,897256
WB5,WB2,-23,897256
WB3,WB1,-49,994312
WB3,WB2,-53,994312
WB4,WB1,-35,1009420
WB2,WB1,-17,897538
WB5,WB2,-24,905267
WB5,WB1,-28,905267
WB3,WB2,-48,1002324
WB3,WB1,-49,1002324
WB4,WB2,-54,1017430
WB4,WB1,-34,1017430
WB2,WB1,-17,905548
WB1,WB2,-18,865092
WB5,WB2,-23,913279
WB3,WB1,-49,1010335
WB3,WB2,-52,1010335
WB4,WB2,-55,1025441
WB4,WB1,-35,1025441
WB2,WB1,-15,913556
WB5,WB1,-28,921289
WB5,WB2,-23,921289
WB3,WB1,-49,1018346
WB3,WB2,-49,1018346
WB4,WB1,-35,1033452
WB4,WB2,-54,1033452
WB2,WB1,-15,921567
WB1,WB2,-19,881113
WB5,WB1,-28,929299
WB5,WB2,-23,929299
WB3,WB2,-50,1026357
WB3,WB1,-51,1026357
WB4,WB1,-35,1041462
WB1,WB2,-18,889123
WB5,WB1,-28,937310
WB5,WB2,-25,937310
WB3,WB2,-56,1034367
WB4,WB1,-36,1049472
WB2,WB1,-17,937588
WB1,WB2,-19,897132
WB5,WB2,-23,945321
WB5,WB1,-27,945321
WB3,WB1,-50,1042379
WB3,WB2,-52,1042379
WB4,WB1,-34,1057484
WB1,WB2,-18,905143
WB5,WB2,-23,953331
WB3,WB2,-57,1050390
WB4,WB1,-34,1065496
WB4,WB2,-49,1065496
WB1,WB2,-18,913153
WB5,WB2,-23,961341
WB5,WB1,-28,961341
WB3,WB1,-53,1058399
WB4,WB2,-56,1073506
WB4,WB1,-34,1073506
WB2,WB1,-17,961617
WB1,WB2,-18,921163
WB5,WB2,-23,969352
WB3,WB1,-53,1066410
WB3,WB2,-59,1066410
WB4,WB1,-34,1081516
WB4,WB2,-48,1081516
WB2,WB1,-17,969628
WB1,WB2,-19,929171
WB3,WB1,-48,1074422
WB4,WB1,-35,1089527
WB5,WB1,-28,985372
WB5,WB2,-23,985372
WB3,WB2,-56,1082432
WB2,WB1,-16,985647
WB1,WB2,-19,945192
WB5,WB1,-28,993382
WB5,WB2,-25,993382
WB3,WB1,-51,1090442
WB4,WB1,-34,1105547
WB4,WB2,-55,1105547
WB2,WB1,-15,993657
WB1,WB2,-19,953201
WB5,WB2,-22,1001392
WB5,WB1,-28,1001392
WB3,WB2,-52,1098453
WB3,WB1,-52,1098453
WB4,WB2,-54,1113557
WB2,WB1,-16,1001667
WB1,WB2,-18,961211
WB5,WB2,-24,1009403
WB3,WB1,-48,1106464
WB3,WB2,-53,1106464
WB4,WB1,-35,1121567
WB2,WB1,-17,1009676
WB5,WB2,-23,1017414
WB3,WB1,-48,1114476
WB4,WB1,-46,1129578
WB4,WB2,-60,1129578
WB2,WB1,-15,1017685
WB5,WB2,-23,1025426
WB3,WB2,-53,1122487
WB3,WB1,-47,1122487
WB4,WB2,-55,1137590
WB1,WB2,-18,985242
WB5,WB2,-23,1033437
WB5,WB1,-28,1033437
WB3,WB2,-49,1130498
WB3,WB1,-49,1130498
WB4,WB1,-35,1145599
WB4,WB2,-58,1145599
WB1,WB2,-18,993250
WB5,WB2,-25,1041448
WB5,WB1,-28,1041448
WB4,WB2,-57,1153610
WB1,WB2,-19,1001261
WB5,WB1,-28,1049459
WB5,WB2,-23,1049459
WB3,WB2,-49,1146519
WB3,WB1,-49,1146519
WB4,WB1,-34,1161621
WB2,WB1,-17,1049723
WB1,WB2,-18,1009269
WB5,WB2,-23,1057470
WB5,WB1,-29,1057470
WB3,WB2,-48,1154529
WB3,WB1,-48,1154529
WB4,WB2,-54,1169631
WB4,WB1,-34,1169631
